id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,0,1,1,1,http://download.t-g.cn,download.t-g.cn,1,download.t-g.cn,47.75.116.106,1,1,80,200,OK,糖果APP下载,nginx/1.10.3 (Ubuntu),,,,,,Brute
2,0,1,1,1,https://download.t-g.cn,download.t-g.cn,1,download.t-g.cn,47.75.116.106,1,1,443,200,OK,糖果APP下载,nginx/1.10.3 (Ubuntu),,,,,,Brute
3,0,0,0,1,https://mail.t-g.cn,mail.t-g.cn,1,mail.t-g.cn,103.147.13.231,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='mail.t-g.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbcc8e02af0>: Failed to establish a new connection: [Errno 61] Connection refused'))""),)",,,,,,,,Brute
4,0,1,1,1,http://mail.t-g.cn,mail.t-g.cn,1,mail.t-g.cn,103.147.13.231,1,1,80,200,OK,没有找到站点,nginx,,,,,,Brute
5,0,1,1,1,http://reg.t-g.cn,reg.t-g.cn,1,"t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com","45.116.161.152,119.160.233.139,45.116.161.155,45.121.144.233,45.116.161.169,45.116.161.159,45.116.161.179,45.121.144.240,45.121.144.237,45.120.53.120,45.121.144.245,45.116.161.143,45.116.161.132","1,1,1,1,1,1,1,1,1,1,1,1,1",1,80,200,OK,邀请二维码,,"45.116.161.0/24,119.160.233.0/24,45.116.161.0/24,45.121.144.0/24,45.116.161.0/24,45.116.161.0/24,45.116.161.0/24,45.121.144.0/24,45.121.144.0/24,45.120.53.0/24,45.121.144.0/24,45.116.161.0/24,45.116.161.0/24","AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720","Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd","中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港","未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知",IP138Query
6,0,1,1,1,https://reg.t-g.cn,reg.t-g.cn,1,"t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com,t-g.cn.cdndefend.com","45.116.161.152,119.160.233.139,45.116.161.155,45.121.144.233,45.116.161.169,45.116.161.159,45.116.161.179,45.121.144.240,45.121.144.237,45.120.53.120,45.121.144.245,45.116.161.143,45.116.161.132","1,1,1,1,1,1,1,1,1,1,1,1,1",1,443,200,OK,邀请二维码,,"45.116.161.0/24,119.160.233.0/24,45.116.161.0/24,45.121.144.0/24,45.116.161.0/24,45.116.161.0/24,45.116.161.0/24,45.121.144.0/24,45.121.144.0/24,45.120.53.0/24,45.121.144.0/24,45.116.161.0/24,45.116.161.0/24","AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720,AS55720","Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd,Gigabit Hosting Sdn Bhd","中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港","未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知",IP138Query
7,0,1,1,1,http://www.t-g.cn,www.t-g.cn,1,www.t-g.cn,47.75.116.106,1,1,80,200,OK,,nginx/1.10.3 (Ubuntu),47.75.0.0/17,AS45102,Alibaba (US) Technology Co. Ltd.,中国香港,阿里云,IP138Query
8,0,1,1,1,https://www.t-g.cn,www.t-g.cn,1,www.t-g.cn,47.75.116.106,1,1,443,200,OK,,nginx/1.10.3 (Ubuntu),47.75.0.0/17,AS45102,Alibaba (US) Technology Co. Ltd.,中国香港,阿里云,IP138Query
